Location,location_id,Super Region,Region,SDI Quintile,African Union (AU),Commonwealth,European Free Trade Association,EU-15,European Union,EU and EFTA,Four World Regions,G20,Gulf Cooperation Council,OECD Countries,Southern African Development Community,UN Regional Commissions,WHO region,World Bank Income Levels,World Bank Regions
Greece,82,High-income,Western Europe,High-middle SDI,,,,EU-15,European Union,EU and EFTA,Europe,G20,,OECD Countries,,ECE,European Region,World Bank High Income,Europe & Central Asia - WB
Iceland,83,High-income,Western Europe,High SDI,,,European Free Trade Association,,,EU and EFTA,Europe,,,OECD Countries,,ECE,European Region,World Bank High Income,Europe & Central Asia - WB
Ireland,84,High-income,Western Europe,High SDI,,,,EU-15,European Union,EU and EFTA,Europe,G20,,OECD Countries,,ECE,European Region,World Bank High Income,Europe & Central Asia - WB
Israel,85,High-income,Western Europe,High SDI,,,,,,,Asia,,,OECD Countries,,ECE,European Region,World Bank High Income,Middle East & North Africa - WB
Italy,86,High-income,Western Europe,High SDI,,,,EU-15,European Union,EU and EFTA,Europe,G20,,OECD Countries,,ECE,European Region,World Bank High Income,Europe & Central Asia - WB
Luxembourg,87,High-income,Western Europe,High SDI,,,,EU-15,European Union,EU and EFTA,Europe,G20,,OECD Countries,,ECE,European Region,World Bank High Income,Europe & Central Asia - WB
Malta,88,High-income,Western Europe,High-middle SDI,,Commonwealth High Income,,,European Union,EU and EFTA,Europe,G20,,,,ECE,European Region,World Bank High Income,Middle East & North Africa - WB
Netherlands,89,High-income,Western Europe,High SDI,,,,EU-15,European Union,EU and EFTA,Europe,G20,,OECD Countries,,ECE,European Region,World Bank High Income,Europe & Central Asia - WB
Norway,90,High-income,Western Europe,High SDI,,,European Free Trade Association,,,EU and EFTA,Europe,,,OECD Countries,,ECE,European Region,World Bank High Income,Europe & Central Asia - WB
Portugal,91,High-income,Western Europe,High-middle SDI,,,,EU-15,European Union,EU and EFTA,Europe,G20,,OECD Countries,,ECE,European Region,World Bank High Income,Europe & Central Asia - WB
Spain,92,High-income,Western Europe,High-middle SDI,,,,EU-15,European Union,EU and EFTA,Europe,G20,,OECD Countries,,ECE,European Region,World Bank High Income,Europe & Central Asia - WB
Sweden,93,High-income,Western Europe,High SDI,,,,EU-15,European Union,EU and EFTA,Europe,G20,,OECD Countries,,ECE,European Region,World Bank High Income,Europe & Central Asia - WB
Stockholm,4944,High-income,Western Europe,High SDI,,,,,,,,,,,,,,,
Sweden except Stockholm,4940,High-income,Western Europe,High SDI,,,,,,,,,,,,,,,
Switzerland,94,High-income,Western Europe,High SDI,,,European Free Trade Association,,,EU and EFTA,Europe,,,OECD Countries,,ECE,European Region,World Bank High Income,Europe & Central Asia - WB
United Kingdom,95,High-income,Western Europe,High SDI,,Commonwealth High Income,,EU-15,European Union,EU and EFTA,Europe,G20,,OECD Countries,,ECE,European Region,World Bank High Income,Europe & Central Asia - WB
England,4749,High-income,Western Europe,High SDI,,,,,,,,,,,,,,,
East Midlands,4621,High-income,Western Europe,High SDI,,,,,,,,,,,,,,,
East of England,4623,High-income,Western Europe,High SDI,,,,,,,,,,,,,,,
Greater London,4624,High-income,Western Europe,High SDI,,,,,,,,,,,,,,,
North East England,4618,High-income,Western Europe,High-middle SDI,,,,,,,,,,,,,,,
North West England,4619,High-income,Western Europe,High SDI,,,,,,,,,,,,,,,
South East England,4625,High-income,Western Europe,High SDI,,,,,,,,,,,,,,,
South West England,4626,High-income,Western Europe,High SDI,,,,,,,,,,,,,,,
West Midlands,4622,High-income,Western Europe,High SDI,,,,,,,,,,,,,,,
Yorkshire and the Humber,4620,High-income,Western Europe,High SDI,,,,,,,,,,,,,,,
Northern Ireland,433,High-income,Western Europe,High-middle SDI,,,,,,,,,,,,,,,
Scotland,434,High-income,Western Europe,High SDI,,,,,,,,,,,,,,,
Wales,4636,High-income,Western Europe,High SDI,,,,,,,,,,,,,,,
Southern Latin America,96,High-income,Southern Latin America,,,,,,,,,,,,,,,,
Argentina,97,High-income,Southern Latin America,High-middle SDI,,,,,,,America,G20,,,,ECLAC,Region of the Americas,World Bank High Income,Latin America & Caribbean - WB
Chile,98,High-income,Southern Latin America,High-middle SDI,,,,,,,America,,,OECD Countries,,ECLAC,Region of the Americas,World Bank High Income,Latin America & Caribbean - WB
Uruguay,99,High-income,Southern Latin America,High-middle SDI,,,,,,,America,,,,,ECLAC,Region of the Americas,World Bank High Income,Latin America & Caribbean - WB
"Central Europe, Eastern Europe, and Central Asia",31,"Central Europe, Eastern Europe, and Central Asia",,,,,,,,,,,,,,,,,
Eastern Europe,56,"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,,,,,,,,,,,,,,,,
Belarus,57,"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,High SDI,,,,,,,Europe,,,,,ECE,European Region,World Bank Upper Middle Income,Europe & Central Asia - WB
Estonia,58,"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,High SDI,,,,,European Union,EU and EFTA,Europe,G20,,OECD Countries,,ECE,European Region,World Bank High Income,Europe & Central Asia - WB
Latvia,59,"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,High SDI,,,,,European Union,EU and EFTA,Europe,G20,,OECD Countries,,ECE,European Region,World Bank High Income,Europe & Central Asia - WB
Lithuania,60,"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,High SDI,,,,,European Union,EU and EFTA,Europe,G20,,,,ECE,European Region,World Bank High Income,Europe & Central Asia - WB
Moldova,61,"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,High-middle SDI,,,,,,,Europe,,,,,ECE,European Region,World Bank Lower Middle Income,Europe & Central Asia - WB
Russia,62,"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,High SDI,,,,,,,Europe,G20,,,,ECE,European Region,World Bank Upper Middle Income,Europe & Central Asia - WB
Ukraine,63,"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,High-middle SDI,,,,,,,Europe,,,,,ECE,European Region,World Bank Lower Middle Income,Europe & Central Asia - WB
Central Europe,42,"Central Europe, Eastern Europe, and Central Asia",Central Europe,,,,,,,,,,,,,,,,
Albania,43,"Central Europe, Eastern Europe, and Central Asia",Central Europe,High-middle SDI,,,,,,,Europe,,,,,ECE,European Region,World Bank Upper Middle Income,Europe & Central Asia - WB
Bosnia and Herzegovina,44,"Central Europe, Eastern Europe, and Central Asia",Central Europe,High-middle SDI,,,,,,,Europe,,,,,ECE,European Region,World Bank Upper Middle Income,Europe & Central Asia - WB
Bulgaria,45,"Central Europe, Eastern Europe, and Central Asia",Central Europe,High-middle SDI,,,,,European Union,EU and EFTA,Europe,G20,,,,ECE,European Region,World Bank Upper Middle Income,Europe & Central Asia - WB
Croatia,46,"Central Europe, Eastern Europe, and Central Asia",Central Europe,High-middle SDI,,,,,European Union,EU and EFTA,Europe,G20,,,,ECE,European Region,World Bank High Income,Europe & Central Asia - WB
Czech Republic,47,"Central Europe, Eastern Europe, and Central Asia",Central Europe,High SDI,,,,,European Union,EU and EFTA,Europe,G20,,OECD Countries,,ECE,European Region,World Bank High Income,Europe & Central Asia - WB
Hungary,48,"Central Europe, Eastern Europe, and Central Asia",Central Europe,High SDI,,,,,European Union,EU and EFTA,Europe,G20,,OECD Countries,,ECE,European Region,World Bank High Income,Europe & Central Asia - WB
Macedonia,49,"Central Europe, Eastern Europe, and Central Asia",Central Europe,High-middle SDI,,,,,,,Europe,,,,,ECE,European Region,World Bank Upper Middle Income,Europe & Central Asia - WB
Montenegro,50,"Central Europe, Eastern Europe, and Central Asia",Central Europe,High-middle SDI,,,,,,,Europe,,,,,ECE,European Region,World Bank Upper Middle Income,Europe & Central Asia - WB
Poland,51,"Central Europe, Eastern Europe, and Central Asia",Central Europe,High SDI,,,,,European Union,EU and EFTA,Europe,G20,,OECD Countries,,ECE,European Region,World Bank High Income,Europe & Central Asia - WB
Romania,52,"Central Europe, Eastern Europe, and Central Asia",Central Europe,High-middle SDI,,,,,European Union,EU and EFTA,Europe,G20,,,,ECE,European Region,World Bank Upper Middle Income,Europe & Central Asia - WB
Serbia,53,"Central Europe, Eastern Europe, and Central Asia",Central Europe,High-middle SDI,,,,,,,Europe,,,,,ECE,European Region,World Bank Upper Middle Income,Europe & Central Asia - WB
Slovakia,54,"Central Europe, Eastern Europe, and Central Asia",Central Europe,High SDI,,,,,European Union,EU and EFTA,Europe,G20,,OECD Countries,,ECE,European Region,World Bank High Income,Europe & Central Asia - WB
Slovenia,55,"Central Europe, Eastern Europe, and Central Asia",Central Europe,High SDI,,,,,European Union,EU and EFTA,Europe,G20,,OECD Countries,,ECE,European Region,World Bank High Income,Europe & Central Asia - WB
Central Asia,32,"Central Europe, Eastern Europe, and Central Asia",Central Asia,,,,,,,,,,,,,,,,
Armenia,33,"Central Europe, Eastern Europe, and Central Asia",Central Asia,High-middle SDI,,,,,,,Europe,,,,,ECE,European Region,World Bank Lower Middle Income,Europe & Central Asia - WB
Azerbaijan,34,"Central Europe, Eastern Europe, and Central Asia",Central Asia,High-middle SDI,,,,,,,Europe,,,,,ECE,European Region,World Bank Upper Middle Income,Europe & Central Asia - WB
Georgia,35,"Central Europe, Eastern Europe, and Central Asia",Central Asia,High-middle SDI,,,,,,,Europe,,,,,ECE,European Region,World Bank Upper Middle Income,Europe & Central Asia - WB
Kazakhstan,36,"Central Europe, Eastern Europe, and Central Asia",Central Asia,High-middle SDI,,,,,,,Asia,,,,,ECE,European Region,World Bank Upper Middle Income,Europe & Central Asia - WB
Kyrgyzstan,37,"Central Europe, Eastern Europe, and Central Asia",Central Asia,Middle SDI,,,,,,,Asia,,,,,ECE,European Region,World Bank Lower Middle Income,Europe & Central Asia - WB
Mongolia,38,"Central Europe, Eastern Europe, and Central Asia",Central Asia,High-middle SDI,,,,,,,Asia,,,,,ESCAP,Western Pacific Region,World Bank Lower Middle Income,East Asia & Pacific - WB
Tajikistan,39,"Central Europe, Eastern Europe, and Central Asia",Central Asia,Middle SDI,,,,,,,Asia,,,,,ECE,European Region,World Bank Lower Middle Income,Europe & Central Asia - WB
Turkmenistan,40,"Central Europe, Eastern Europe, and Central Asia",Central Asia,High-middle SDI,,,,,,,Asia,,,,,ECE,European Region,World Bank Upper Middle Income,Europe & Central Asia - WB
Uzbekistan,41,"Central Europe, Eastern Europe, and Central Asia",Central Asia,High-middle SDI,,,,,,,Asia,,,,,ECE,European Region,World Bank Lower Middle Income,Europe & Central Asia - WB
Latin America and Caribbean,103,Latin America and Caribbean,,,,,,,,,,,,,,,,,
Central Latin America,124,Latin America and Caribbean,Central Latin America,,,,,,,,,,,,,,,,
Colombia,125,Latin America and Caribbean,Central Latin America,High-middle SDI,,,,,,,America,,,,,ECLAC,Region of the Americas,World Bank Upper Middle Income,Latin America & Caribbean - WB
Costa Rica,126,Latin America and Caribbean,Central Latin America,High-middle SDI,,,,,,,America,,,,,ECLAC,Region of the Americas,World Bank Upper Middle Income,Latin America & Caribbean - WB
El Salvador,127,Latin America and Caribbean,Central Latin America,Middle SDI,,,,,,,America,,,,,ECLAC,Region of the Americas,World Bank Lower Middle Income,Latin America & Caribbean - WB
Guatemala,128,Latin America and Caribbean,Central Latin America,Low-middle SDI,,,,,,,America,,,,,ECLAC,Region of the Americas,World Bank Lower Middle Income,Latin America & Caribbean - WB
Honduras,129,Latin America and Caribbean,Central Latin America,Middle SDI,,,,,,,America,,,,,ECLAC,Region of the Americas,World Bank Lower Middle Income,Latin America & Caribbean - WB
Mexico,130,Latin America and Caribbean,Central Latin America,Middle SDI,,,,,,,America,G20,,OECD Countries,,ECLAC,Region of the Americas,World Bank Upper Middle Income,Latin America & Caribbean - WB
Nicaragua,131,Latin America and Caribbean,Central Latin America,Middle SDI,,,,,,,America,,,,,ECLAC,Region of the Americas,World Bank Lower Middle Income,Latin America & Caribbean - WB
Panama,132,Latin America and Caribbean,Central Latin America,High-middle SDI,,,,,,,America,,,,,ECLAC,Region of the Americas,World Bank Upper Middle Income,Latin America & Caribbean - WB
Venezuela,133,Latin America and Caribbean,Central Latin America,High-middle SDI,,,,,,,America,,,,,ECLAC,Region of the Americas,World Bank Upper Middle Income,Latin America & Caribbean - WB
Andean Latin America,120,Latin America and Caribbean,Andean Latin America,,,,,,,,,,,,,,,,
Bolivia,121,Latin America and Caribbean,Andean Latin America,Middle SDI,,,,,,,America,,,,,ECLAC,Region of the Americas,World Bank Lower Middle Income,Latin America & Caribbean - WB
Ecuador,122,Latin America and Caribbean,Andean Latin America,High-middle SDI,,,,,,,America,,,,,ECLAC,Region of the Americas,World Bank Upper Middle Income,Latin America & Caribbean - WB
Peru,123,Latin America and Caribbean,Andean Latin America,High-middle SDI,,,,,,,America,,,,,ECLAC,Region of the Americas,World Bank Upper Middle Income,Latin America & Caribbean - WB
Caribbean,104,Latin America and Caribbean,Caribbean,,,,,,,,,,,,,,,,
Antigua and Barbuda,105,Latin America and Caribbean,Caribbean,High SDI,,Commonwealth High Income,,,,,America,,,,,ECLAC,Region of the Americas,World Bank High Income,Latin America & Caribbean - WB
The Bahamas,106,Latin America and Caribbean,Caribbean,High SDI,,Commonwealth High Income,,,,,America,,,,,ECLAC,Region of the Americas,World Bank High Income,Latin America & Caribbean - WB
Barbados,107,Latin America and Caribbean,Caribbean,High-middle SDI,,Commonwealth High Income,,,,,America,,,,,ECLAC,Region of the Americas,World Bank High Income,Latin America & Caribbean - WB
Belize,108,Latin America and Caribbean,Caribbean,Middle SDI,,Commonwealth Middle Income,,,,,America,,,,,ECLAC,Region of the Americas,World Bank Upper Middle Income,Latin America & Caribbean - WB
Bermuda,305,Latin America and Caribbean,Caribbean,High SDI,,,,,,,,,,,,,South-East Asia Region,World Bank High Income,North America
Cuba,109,Latin America and Caribbean,Caribbean,High-middle SDI,,,,,,,America,,,,,ECLAC,Region of the Americas,World Bank Upper Middle Income,Latin America & Caribbean - WB
Dominica,110,Latin America and Caribbean,Caribbean,High-middle SDI,,Commonwealth Middle Income,,,,,America,,,,,ECLAC,Region of the Americas,World Bank Upper Middle Income,Latin America & Caribbean - WB
Dominican Republic,111,Latin America and Caribbean,Caribbean,High-middle SDI,,,,,,,America,,,,,ECLAC,Region of the Americas,World Bank Upper Middle Income,Latin America & Caribbean - WB
Grenada,112,Latin America and Caribbean,Caribbean,High-middle SDI,,Commonwealth Middle Income,,,,,America,,,,,ECLAC,Region of the Americas,World Bank Upper Middle Income,Latin America & Caribbean - WB
Guyana,113,Latin America and Caribbean,Caribbean,Middle SDI,,Commonwealth Middle Income,,,,,America,,,,,ECLAC,Region of the Americas,World Bank Upper Middle Income,Latin America & Caribbean - WB
Haiti,114,Latin America and Caribbean,Caribbean,Low-middle SDI,,,,,,,America,,,,,ECLAC,Region of the Americas,World Bank Low Income,Latin America & Caribbean - WB
Jamaica,115,Latin America and Caribbean,Caribbean,High-middle SDI,,Commonwealth Middle Income,,,,,America,,,,,ECLAC,Region of the Americas,World Bank Upper Middle Income,Latin America & Caribbean - WB
Puerto Rico,385,Latin America and Caribbean,Caribbean,High SDI,,,,,,,,,,,,,,World Bank High Income,Latin America & Caribbean - WB
Saint Lucia,116,Latin America and Caribbean,Caribbean,High-middle SDI,,Commonwealth Middle Income,,,,,America,,,,,ECLAC,Region of the Americas,World Bank Upper Middle Income,Latin America & Caribbean - WB
Saint Vincent and the Grenadines,117,Latin America and Caribbean,Caribbean,High-middle SDI,,Commonwealth Middle Income,,,,,America,,,,,ECLAC,Region of the Americas,World Bank Upper Middle Income,Latin America & Caribbean - WB
Suriname,118,Latin America and Caribbean,Caribbean,High-middle SDI,,,,,,,America,,,,,ECLAC,Region of the Americas,World Bank Upper Middle Income,Latin America & Caribbean - WB
Trinidad and Tobago,119,Latin America and Caribbean,Caribbean,High SDI,,Commonwealth High Income,,,,,America,,,,,ECLAC,Region of the Americas,World Bank High Income,Latin America & Caribbean - WB
"Virgin Islands, U.S.",422,Latin America and Caribbean,Caribbean,High SDI,,,,,,,,,,,,,,World Bank High Income,Latin America & Caribbean - WB
Tropical Latin America,134,Latin America and Caribbean,Tropical Latin America,,,,,,,,,,,,,,,,
Brazil,135,Latin America and Caribbean,Tropical Latin America,Middle SDI,,,,,,,America,G20,,,,ECLAC,Region of the Americas,World Bank Upper Middle Income,Latin America & Caribbean - WB
Paraguay,136,Latin America and Caribbean,Tropical Latin America,Middle SDI,,,,,,,America,,,,,ECLAC,Region of the Americas,World Bank Upper Middle Income,Latin America & Caribbean - WB
"Southeast Asia, East Asia, and Oceania",4,"Southeast Asia, East Asia, and Oceania",,,,,,,,,,,,,,,,,
East Asia,5,"Southeast Asia, East Asia, and Oceania",East Asia,,,,,,,,,,,,,,,,
China,6,"Southeast Asia, East Asia, and Oceania",East Asia,Middle SDI,,,,,,,Asia,G20,,,,ESCAP,Western Pacific Region,World Bank Upper Middle Income,East Asia & Pacific - WB
North Korea,7,"Southeast Asia, East Asia, and Oceania",East Asia,Middle SDI,,,,,,,Asia,,,,,ESCAP,South-East Asia Region,World Bank Low Income,East Asia & Pacific - WB
Taiwan,8,"Southeast Asia, East Asia, and Oceania",East Asia,High SDI,,,,,,,Asia,,,,,,,World Bank High Income,East Asia & Pacific - WB
Southeast Asia,9,"Southeast Asia, East Asia, and Oceania",Southeast Asia,,,,,,,,,,,,,,,,
Cambodia,10,"Southeast Asia, East Asia, and Oceania",Southeast Asia,Low-middle SDI,,,,,,,Asia,,,,,ESCAP,Western Pacific Region,World Bank Lower Middle Income,East Asia & Pacific - WB
Indonesia,11,"Southeast Asia, East Asia, and Oceania",Southeast Asia,Middle SDI,,,,,,,Asia,G20,,,,ESCAP,South-East Asia Region,World Bank Lower Middle Income,East Asia & Pacific - WB
Laos,12,"Southeast Asia, East Asia, and Oceania",Southeast Asia,Low-middle SDI,,,,,,,Asia,,,,,ESCAP,Western Pacific Region,World Bank Lower Middle Income,East Asia & Pacific - WB
Malaysia,13,"Southeast Asia, East Asia, and Oceania",Southeast Asia,High-middle SDI,,Commonwealth Middle Income,,,,,Asia,,,,,ESCAP,Western Pacific Region,World Bank Upper Middle Income,East Asia & Pacific - WB
Maldives,14,"Southeast Asia, East Asia, and Oceania",Southeast Asia,Middle SDI,,Commonwealth Middle Income,,,,,Asia,,,,,ESCAP,South-East Asia Region,World Bank Upper Middle Income,South Asia - WB
Mauritius,183,"Southeast Asia, East Asia, and Oceania",Southeast Asia,High-middle SDI,African Union,Commonwealth Middle Income,,,,,Africa,,,,Southern African Development Community,ECA,African Region,World Bank Upper Middle Income,Sub-Saharan Africa - WB
Myanmar,15,"Southeast Asia, East Asia, and Oceania",Southeast Asia,Low-middle SDI,,,,,,,Asia,,,,,ESCAP,South-East Asia Region,World Bank Lower Middle Income,East Asia & Pacific - WB
Philippines,16,"Southeast Asia, East Asia, and Oceania",Southeast Asia,Middle SDI,,,,,,,Asia,,,,,ESCAP,Western Pacific Region,World Bank Lower Middle Income,East Asia & Pacific - WB
Sri Lanka,17,"Southeast Asia, East Asia, and Oceania",Southeast Asia,High-middle SDI,,Commonwealth Middle Income,,,,,Asia,,,,,ESCAP,South-East Asia Region,World Bank Lower Middle Income,South Asia - WB
Seychelles,186,"Southeast Asia, East Asia, and Oceania",Southeast Asia,High-middle SDI,African Union,Commonwealth Middle Income,,,,,Africa,,,,Southern African Development Community,ECA,African Region,World Bank High Income,Sub-Saharan Africa - WB
Thailand,18,"Southeast Asia, East Asia, and Oceania",Southeast Asia,High-middle SDI,,,,,,,Asia,,,,,ESCAP,South-East Asia Region,World Bank Upper Middle Income,East Asia & Pacific - WB
Timor-Leste,19,"Southeast Asia, East Asia, and Oceania",Southeast Asia,Low-middle SDI,,,,,,,Asia,,,,,ESCAP,South-East Asia Region,World Bank Lower Middle Income,East Asia & Pacific - WB
Vietnam,20,"Southeast Asia, East Asia, and Oceania",Southeast Asia,Middle SDI,,,,,,,Asia,,,,,ESCAP,Western Pacific Region,World Bank Lower Middle Income,East Asia & Pacific - WB
Oceania,21,"Southeast Asia, East Asia, and Oceania",Oceania,,,,,,,,,,,,,,,,
American Samoa,298,"Southeast Asia, East Asia, and Oceania",Oceania,High-middle SDI,,,,,,,,,,,,,,World Bank Upper Middle Income,East Asia & Pacific - WB
Federated States of Micronesia,25,"Southeast Asia, East Asia, and Oceania",Oceania,Middle SDI,,,,,,,Asia,,,,,ESCAP,Western Pacific Region,World Bank Lower Middle Income,East Asia & Pacific - WB
Fiji,22,"Southeast Asia, East Asia, and Oceania",Oceania,High-middle SDI,,Commonwealth Middle Income,,,,,Asia,,,,,ESCAP,Western Pacific Region,World Bank Upper Middle Income,East Asia & Pacific - WB
Guam,351,"Southeast Asia, East Asia, and Oceania",Oceania,High SDI,,,,,,,,,,,,,,World Bank High Income,East Asia & Pacific - WB
Kiribati,23,"Southeast Asia, East Asia, and Oceania",Oceania,Low-middle SDI,,Commonwealth Middle Income,,,,,Asia,,,,,ESCAP,Western Pacific Region,World Bank Lower Middle Income,East Asia & Pacific - WB
Marshall Islands,24,"Southeast Asia, East Asia, and Oceania",Oceania,Middle SDI,,,,,,,Asia,,,,,ESCAP,Western Pacific Region,World Bank Upper Middle Income,East Asia & Pacific - WB
Northern Mariana Islands,376,"Southeast Asia, East Asia, and Oceania",Oceania,High SDI,,,,,,,,,,,,,,World Bank High Income,East Asia & Pacific - WB
Papua New Guinea,26,"Southeast Asia, East Asia, and Oceania",Oceania,Low-middle SDI,,Commonwealth Middle Income,,,,,Asia,,,,,ESCAP,Western Pacific Region,World Bank Lower Middle Income,East Asia & Pacific - WB
Samoa,27,"Southeast Asia, East Asia, and Oceania",Oceania,Middle SDI,,Commonwealth Middle Income,,,,,Asia,,,,,ESCAP,Western Pacific Region,World Bank Lower Middle Income,East Asia & Pacific - WB
Solomon Islands,28,"Southeast Asia, East Asia, and Oceania",Oceania,Low-middle SDI,,Commonwealth Middle Income,,,,,Asia,,,,,ESCAP,Western Pacific Region,World Bank Lower Middle Income,East Asia & Pacific - WB
Tonga,29,"Southeast Asia, East Asia, and Oceania",Oceania,Middle SDI,,Commonwealth Middle Income,,,,,Asia,,,,,ESCAP,Western Pacific Region,World Bank Lower Middle Income,East Asia & Pacific - WB
Vanuatu,30,"Southeast Asia, East Asia, and Oceania",Oceania,Low-middle SDI,,Commonwealth Middle Income,,,,,Asia,,,,,ESCAP,Western Pacific Region,World Bank Lower Middle Income,East Asia & Pacific - WB
North Africa and Middle East,137,North Africa and Middle East,,,,,,,,,,,,,,,,,
North Africa and Middle East,138,North Africa and Middle East,North Africa and Middle East,,,,,,,,,,,,,,,,
Afghanistan,160,North Africa and Middle East,North Africa and Middle East,Low SDI,,,,,,,Asia,,,,,ESCAP,Eastern Mediterranean Region,World Bank Low Income,South Asia - WB
Algeria,139,North Africa and Middle East,North Africa and Middle East,Middle SDI,African Union,,,,,,Africa,,,,,ECA,African Region,World Bank Upper Middle Income,Middle East & North Africa - WB
Bahrain,140,North Africa and Middle East,North Africa and Middle East,High-middle SDI,,,,,,,Asia,,Gulf Cooperation Council,,,ESCWA,Eastern Mediterranean Region,World Bank High Income,Middle East & North Africa - WB
Egypt,141,North Africa and Middle East,North Africa and Middle East,Middle SDI,African Union,,,,,,Africa,,,,,ECA,Eastern Mediterranean Region,World Bank Lower Middle Income,Middle East & North Africa - WB
Iran,142,North Africa and Middle East,North Africa and Middle East,High-middle SDI,,,,,,,Asia,,,,,ESCAP,Eastern Mediterranean Region,World Bank Upper Middle Income,Middle East & North Africa - WB
Iraq,143,North Africa and Middle East,North Africa and Middle East,Middle SDI,,,,,,,Asia,,,,,ESCWA,Eastern Mediterranean Region,World Bank Upper Middle Income,Middle East & North Africa - WB
Jordan,144,North Africa and Middle East,North Africa and Middle East,High-middle SDI,,,,,,,Asia,,,,,ESCWA,Eastern Mediterranean Region,World Bank Upper Middle Income,Middle East & North Africa - WB
Kuwait,145,North Africa and Middle East,North Africa and Middle East,High SDI,,,,,,,Asia,,Gulf Cooperation Council,,,ESCWA,Eastern Mediterranean Region,World Bank High Income,Middle East & North Africa - WB
Lebanon,146,North Africa and Middle East,North Africa and Middle East,High-middle SDI,,,,,,,Asia,,,,,ESCWA,Eastern Mediterranean Region,World Bank Upper Middle Income,Middle East & North Africa - WB
Libya,147,North Africa and Middle East,North Africa and Middle East,Middle SDI,African Union,,,,,,Africa,,,,,ECA,Eastern Mediterranean Region,World Bank Upper Middle Income,Middle East & North Africa - WB
